Edad,1900,1910,1920,1930,1940,1960,1960,1970,1980,1990,1998
0,33.85,40.92,40.26,48.38,47.12,59.81,67.4,69.57,72.52,73.4,75.25
1,41.74,47.64,47.24,54.13,52.37,63.18,69.44,70.19,72.54,73.02,74.64
5,48.6,52.45,51.81,55.5,52.62,60.99,66.01,66.48,68.74,69.17,70.71
10,45.66,49.12,48.58,51.55,48.55,56.57,61.25,61.65,63.88,64.26,65.78
15,41.6,44.89,44.4,47.14,44.03,51.91,56.42,56.79,58.99,59.36,60.84
20,37.93,41.06,40.68,43.11,39.97,47.44,51.67,52.03,54.2,54.62,56.03
25,34.93,37.6,37.31,39.29,36.37,43.18,46.96,47.33,49.49,50.04,51.27
30,31.86,33.88,33.69,35.34,32.82,38.97,42.29,42.65,44.75,45.48,46.53
35,28.52,30.04,29.97,31.39,29.07,34.69,37.67,37.98,40.03,40.88,41.85
40,25.02,26.35,26.28,27.5,25.36,30.36,33.1,33.37,35.35,36.27,37.22
45,21.49,22.73,22.66,23.71,21.8,26.22,28.64,28.88,30.8,31.74,32.66
50,18.04,19.16,19.14,20.05,18.43,22.23,25.2,24.57,26.42,27.32,28.21
55,14.77,15.73,15.76,16.55,15.29,18.43,20.28,20.49,22.26,23.15,23.95
60,11.74,12.58,12.6,13.3,12.43,14.93,16.53,16.68,18.39,19.2,19.89
65,9,9.81,9.72,10.38,9.87,11.83,13.14,13.25,14.77,15.53,16.11
70,6.61,7.41,7.2,7.83,7.59,9.16,10.16,10.23,11.54,12.21,12.66
75,4.71,5.36,5.16,5.7,5.61,6.81,7.63,7.75,8.81,9.29,9.59
80,3.38,3.84,3.69,4.06,4.03,4.81,5.65,5.77,6.59,6.89,7.02
85,2.45,2.75,2.64,2.88,2.87,3.33,4.17,4.25,4.89,4.97,4.91
90,1.76,1.97,1.9,2.04,2.05,2.3,2.86,3.18,3.7,3.47,3.36
95,1.1,1.1,1.13,1.48,1.5,1.59,1.65,2,2.29,2,1.99
