Edad,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,1998
0,35.7,42.56,42.05,51.6,53.24,64.32,72.16,75.06,78.61,80.49,82.16
1,43.01,48.46,48.65,56.85,58.83,67.32,73.74,75.41,78.44,80.06,81.52
5,49.99,53.34,53.51,58.3,59.52,65.19,70.27,71.67,74.62,76.19,77.61
10,47.19,50.04,50.33,54.32,55.49,60.73,65.48,66.8,69.73,71.26,72.65
15,43.29,45.94,46.32,50,51.12,56.08,60.61,61.9,64.81,66.33,67.7
20,39.78,42.16,42.59,45.94,46.96,51.56,55.76,57.02,59.91,61.44,62.78
25,36.56,38.61,39.17,42.1,42.96,47.17,50.96,54.28,55.01,56.56,57.87
30,33.28,35.03,35.75,38.26,38.85,42.82,46.21,47.33,50.13,51.71,52.96
35,29.92,31.41,32.19,34.34,34.7,38.39,41.49,42.53,45.28,46.86,48.09
40,26.43,27.79,28.55,30.38,30.66,33.9,36.82,37.79,40.46,42.04,43.25
45,22.76,24.06,24.81,26.38,26.66,29.6,32.23,33.13,35.72,37.26,38.47
50,19.05,20.27,21,22.38,22.68,25.34,27.73,28.57,31.07,32.55,33.75
55,15.47,16.57,17.26,18.48,18.81,21.12,23.38,24.16,26.54,27.96,29.09
60,12.17,13.14,13.75,14.8,15.2,17.11,19.2,19.91,22.13,23.49,24.52
65,9.23,10.1,10.59,11.46,11.94,13.48,15.31,15.89,17.93,19.17,20.09
70,6.72,7.48,7.88,8.54,9.07,10.32,11.8,12.22,14.02,15.07,15.85
75,4.78,5.35,5.67,6.13,6.58,7.56,8.81,9.11,10.53,11.35,11.94
80,3.42,3.8,4.02,4.31,4.61,5.24,6.45,6.6,7.63,8.18,8.52
85,2.47,2.71,2.84,3.01,3.2,3.56,4.66,4.73,5.46,5.71,5.72
90,1.79,1.94,2.02,2.11,2.22,2.42,3.45,3.38,3.95,3.85,3.65
95,1.07,1.36,1.44,1.47,1.54,1.65,2.13,1.99,2.3,2.14,1.99
